1, Jerusalem,158.8,228.4,31.764914184383013,35.217194075192744
2, Nablus,167.6,170.8,32.22217264070561,35.260277019584315
3, Acre,142.8,55.6,32.93374077944502,35.08248336167142
4, Safad,194.4,32.4,32.965719165493326,35.499132545082276
5, Tiberias,186.0,84.4,32.79396638703422,35.529619070415606
6, Nazareth,161.2,91.6,32.703155338793835,35.30097012974685
7, Haifa,129.2,100.4,32.79610199975696,34.991023787848285
8, Jenin,153.2,123.6,32.4633987538171,35.293348495895756
9, Beisan,191.6,113.2,32.499831637678476,35.500402816446666
10, Tulkarm,123.6,152.4,32.323960670179524,35.02532112722218
11, Jaffa,107.6,178.0,32.04880899060074,34.75860211515216
12, Allyd,125.2,198.8,31.95032139764299,34.889098311274104
13, Ramallah,152.4,194.0,31.904501202851158,35.20498603769844
14, Alramla,102.8,210.8,31.93242400673643,34.87328025402989
15, Hebron,136.4,261.2,31.529531383441974,35.100274657798444
16, Beersheba,114.0,354.8,31.25287294935201, 34.78716430827742